
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  6.10000000000E+07     ; 6.40000000000E+07   ; Hz                  ; 1601      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   6.10000000000E+07; -0.480089     ;-0.848574     
   6.10018750000E+07; -0.481093     ;-0.841338     
   6.10037500000E+07; -0.478245     ;-0.842084     
   6.10056250000E+07; -0.481425     ;-0.841566     
   6.10075000000E+07; -0.484593     ;-0.838683     
   6.10093750000E+07; -0.482537     ;-0.839191     
   6.10112500000E+07; -0.483874     ;-0.839134     
   6.10131250000E+07; -0.484548     ;-0.83754      
   6.10150000000E+07; -0.483929     ;-0.83458      
   6.10168750000E+07; -0.485923     ;-0.838098     
   6.10187500000E+07; -0.486809     ;-0.836999     
   6.10206250000E+07; -0.488489     ;-0.835956     
   6.10225000000E+07; -0.490172     ;-0.835513     
   6.10243750000E+07; -0.488111     ;-0.834726     
   6.10262500000E+07; -0.490483     ;-0.834943     
   6.10281250000E+07; -0.490487     ;-0.83316      
   6.10300000000E+07; -0.492376     ;-0.833672     
   6.10318750000E+07; -0.493533     ;-0.833826     
   6.10337500000E+07; -0.496115     ;-0.83107      
   6.10356250000E+07; -0.495783     ;-0.831201     
   6.10375000000E+07; -0.493404     ;-0.829483     
   6.10393750000E+07; -0.495996     ;-0.829488     
   6.10412500000E+07; -0.496462     ;-0.830324     
   6.10431250000E+07; -0.496837     ;-0.829009     
   6.10450000000E+07; -0.497885     ;-0.828902     
   6.10468750000E+07; -0.499841     ;-0.826639     
   6.10487500000E+07; -0.500926     ;-0.827265     
   6.10506250000E+07; -0.502138     ;-0.825046     
   6.10525000000E+07; -0.501896     ;-0.824777     
   6.10543750000E+07; -0.504974     ;-0.827324     
   6.10562500000E+07; -0.505444     ;-0.826833     
   6.10581250000E+07; -0.50739      ;-0.82598      
   6.10600000000E+07; -0.506864     ;-0.825609     
   6.10618750000E+07; -0.507552     ;-0.823254     
   6.10637500000E+07; -0.508126     ;-0.823963     
   6.10656250000E+07; -0.50826      ;-0.82051      
   6.10675000000E+07; -0.510832     ;-0.82349      
   6.10693750000E+07; -0.508094     ;-0.820037     
   6.10712500000E+07; -0.512334     ;-0.823427     
   6.10731250000E+07; -0.511377     ;-0.821115     
   6.10750000000E+07; -0.513562     ;-0.822434     
   6.10768750000E+07; -0.515777     ;-0.81823      
   6.10787500000E+07; -0.514947     ;-0.819912     
   6.10806250000E+07; -0.515589     ;-0.818889     
   6.10825000000E+07; -0.516812     ;-0.817762     
   6.10843750000E+07; -0.516944     ;-0.817056     
   6.10862500000E+07; -0.517379     ;-0.814935     
   6.10881250000E+07; -0.518981     ;-0.814604     
   6.10900000000E+07; -0.518818     ;-0.814591     
   6.10918750000E+07; -0.521269     ;-0.8163       
   6.10937500000E+07; -0.522959     ;-0.813582     
   6.10956250000E+07; -0.521002     ;-0.816158     
   6.10975000000E+07; -0.52448      ;-0.812146     
   6.10993750000E+07; -0.525588     ;-0.812013     
   6.11012500000E+07; -0.524807     ;-0.812115     
   6.11031250000E+07; -0.525302     ;-0.810615     
   6.11050000000E+07; -0.526626     ;-0.810751     
   6.11068750000E+07; -0.527842     ;-0.813183     
   6.11087500000E+07; -0.529        ;-0.810863     
   6.11106250000E+07; -0.532614     ;-0.809583     
   6.11125000000E+07; -0.530048     ;-0.807835     
   6.11143750000E+07; -0.528997     ;-0.808546     
   6.11162500000E+07; -0.533737     ;-0.808174     
   6.11181250000E+07; -0.530778     ;-0.806562     
   6.11200000000E+07; -0.532696     ;-0.805793     
   6.11218750000E+07; -0.534717     ;-0.80579      
   6.11237500000E+07; -0.534341     ;-0.805784     
   6.11256250000E+07; -0.534767     ;-0.809161     
   6.11275000000E+07; -0.536759     ;-0.803705     
   6.11293750000E+07; -0.540927     ;-0.803909     
   6.11312500000E+07; -0.53931      ;-0.802664     
   6.11331250000E+07; -0.541294     ;-0.803274     
   6.11350000000E+07; -0.538825     ;-0.800915     
   6.11368750000E+07; -0.540677     ;-0.801129     
   6.11387500000E+07; -0.540988     ;-0.798109     
   6.11406250000E+07; -0.543598     ;-0.80107      
   6.11425000000E+07; -0.542414     ;-0.801757     
   6.11443750000E+07; -0.544177     ;-0.799019     
   6.11462500000E+07; -0.5463       ;-0.797565     
   6.11481250000E+07; -0.546398     ;-0.799114     
   6.11500000000E+07; -0.546525     ;-0.79707      
   6.11518750000E+07; -0.549282     ;-0.797351     
   6.11537500000E+07; -0.54578      ;-0.796312     
   6.11556250000E+07; -0.54855      ;-0.795008     
   6.11575000000E+07; -0.54934      ;-0.794331     
   6.11593750000E+07; -0.549893     ;-0.794818     
   6.11612500000E+07; -0.551166     ;-0.793384     
   6.11631250000E+07; -0.552951     ;-0.793238     
   6.11650000000E+07; -0.553717     ;-0.794827     
   6.11668750000E+07; -0.555177     ;-0.791224     
   6.11687500000E+07; -0.556892     ;-0.791491     
   6.11706250000E+07; -0.554372     ;-0.789638     
   6.11725000000E+07; -0.555669     ;-0.790434     
   6.11743750000E+07; -0.557448     ;-0.79029      
   6.11762500000E+07; -0.558038     ;-0.791601     
   6.11781250000E+07; -0.561895     ;-0.78644      
   6.11800000000E+07; -0.562538     ;-0.788261     
   6.11818750000E+07; -0.562648     ;-0.786996     
   6.11837500000E+07; -0.563717     ;-0.786687     
   6.11856250000E+07; -0.563199     ;-0.786156     
   6.11875000000E+07; -0.564653     ;-0.784682     
   6.11893750000E+07; -0.565504     ;-0.786838     
   6.11912500000E+07; -0.566247     ;-0.783248     
   6.11931250000E+07; -0.568657     ;-0.785062     
   6.11950000000E+07; -0.567815     ;-0.782269     
