
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  6.10000000000E+07     ; 6.40000000000E+07   ; Hz                  ; 1601      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   6.10000000000E+07; -0.47778      ;-0.847044     
   6.10018750000E+07; -0.479052     ;-0.841923     
   6.10037500000E+07; -0.480443     ;-0.842117     
   6.10056250000E+07; -0.483522     ;-0.841657     
   6.10075000000E+07; -0.482579     ;-0.838368     
   6.10093750000E+07; -0.485649     ;-0.839424     
   6.10112500000E+07; -0.482978     ;-0.839474     
   6.10131250000E+07; -0.4854       ;-0.837611     
   6.10150000000E+07; -0.487547     ;-0.83793      
   6.10168750000E+07; -0.487013     ;-0.837443     
   6.10187500000E+07; -0.485569     ;-0.835138     
   6.10206250000E+07; -0.487059     ;-0.834524     
   6.10225000000E+07; -0.488355     ;-0.833733     
   6.10243750000E+07; -0.488216     ;-0.83289      
   6.10262500000E+07; -0.491471     ;-0.835849     
   6.10281250000E+07; -0.489668     ;-0.836574     
   6.10300000000E+07; -0.493532     ;-0.83501      
   6.10318750000E+07; -0.494395     ;-0.832321     
   6.10337500000E+07; -0.494488     ;-0.833211     
   6.10356250000E+07; -0.495964     ;-0.831524     
   6.10375000000E+07; -0.495056     ;-0.833617     
   6.10393750000E+07; -0.496755     ;-0.831007     
   6.10412500000E+07; -0.497872     ;-0.828836     
   6.10431250000E+07; -0.500342     ;-0.828789     
   6.10450000000E+07; -0.500256     ;-0.828299     
   6.10468750000E+07; -0.501006     ;-0.828975     
   6.10487500000E+07; -0.503128     ;-0.828659     
   6.10506250000E+07; -0.501191     ;-0.825705     
   6.10525000000E+07; -0.504228     ;-0.82832      
   6.10543750000E+07; -0.503995     ;-0.825838     
   6.10562500000E+07; -0.503504     ;-0.826832     
   6.10581250000E+07; -0.50616      ;-0.823552     
   6.10600000000E+07; -0.505996     ;-0.825703     
   6.10618750000E+07; -0.509496     ;-0.820989     
   6.10637500000E+07; -0.509017     ;-0.824599     
   6.10656250000E+07; -0.51258      ;-0.821863     
   6.10675000000E+07; -0.51177      ;-0.821885     
   6.10693750000E+07; -0.509165     ;-0.821732     
   6.10712500000E+07; -0.510948     ;-0.819434     
   6.10731250000E+07; -0.512761     ;-0.821315     
   6.10750000000E+07; -0.513583     ;-0.819673     
   6.10768750000E+07; -0.514327     ;-0.820446     
   6.10787500000E+07; -0.515962     ;-0.817227     
   6.10806250000E+07; -0.514853     ;-0.81813      
   6.10825000000E+07; -0.516703     ;-0.817696     
   6.10843750000E+07; -0.518867     ;-0.816638     
   6.10862500000E+07; -0.517637     ;-0.81736      
   6.10881250000E+07; -0.519813     ;-0.818319     
   6.10900000000E+07; -0.520699     ;-0.817955     
   6.10918750000E+07; -0.521116     ;-0.816273     
   6.10937500000E+07; -0.524136     ;-0.813212     
   6.10956250000E+07; -0.522712     ;-0.814759     
   6.10975000000E+07; -0.526382     ;-0.814241     
   6.10993750000E+07; -0.521769     ;-0.813405     
   6.11012500000E+07; -0.522282     ;-0.80781      
   6.11031250000E+07; -0.524495     ;-0.813147     
